task,split,step,loss
control,train,9250,1.2733166217803955
control,train,9300,1.2846705913543701
control,train,9350,1.2864917516708374
control,train,9400,1.2883059978485107
control,train,9450,1.2812941074371338
control,train,9500,1.2812836170196533
control,train,9550,1.2705823183059692
control,train,9600,1.2939965724945068
control,train,9650,1.282566785812378
control,train,9700,1.269688606262207
control,train,9750,1.2765525579452515
control,train,9800,1.2672489881515503
control,train,9850,1.2737839221954346
control,train,9900,1.2621347904205322
control,train,9950,1.2680580615997314
control,train,10000,1.2789634466171265
control,train,10050,1.284986138343811
control,train,10100,1.275006651878357
control,train,10150,1.2779340744018555
