time,gpu_util,gpu_vram_mb,gpu_temp,cpu_pct,ram_pct,disk_read_mb_s,disk_write_mb_s
16:38:35,38,306.0,71.0,17,30,0.0,0.0
16:38:37,32,306.0,71.0,17,30,0.0,0.0
16:38:39,34,306.0,71.0,17,30,0.0,0.1
16:38:41,39,306.0,71.0,18,30,0.0,0.1
16:38:43,17,306.0,71.0,19,30,0.0,0.2
16:38:45,38,306.0,70.0,18,30,0.0,0.0
16:38:47,36,306.0,71.0,19,30,0.0,0.0
16:38:49,30,306.0,71.0,16,30,0.0,0.0
16:38:51,39,306.0,71.0,16,30,0.0,0.0
16:38:53,16,306.0,71.0,17,30,0.0,0.4
16:38:55,39,306.0,70.0,18,30,0.0,0.0
16:38:57,28,306.0,71.0,19,30,0.0,0.1
16:38:59,39,306.0,70.0,19,30,0.0,0.1
16:39:01,39,306.0,70.0,20,30,0.0,0.0
16:39:03,27,306.0,71.0,18,30,0.0,0.0
16:39:06,28,306.0,71.0,19,30,0.0,0.0
16:39:08,37,306.0,71.0,20,30,0.0,0.0
16:39:10,45,306.0,71.0,19,30,0.0,0.1
16:39:12,18,306.0,71.0,18,30,0.0,0.0
16:39:14,36,306.0,71.0,21,30,0.0,0.2
16:39:16,39,306.0,71.0,18,30,0.0,0.0
16:39:18,27,306.0,71.0,21,30,0.0,0.0
16:39:20,39,306.0,71.0,20,30,0.0,0.0
16:39:22,39,306.0,71.0,20,30,0.0,0.0
16:39:24,17,306.0,71.0,20,30,0.1,0.8
16:39:26,39,306.0,70.0,18,30,0.0,0.1
16:39:28,32,306.0,71.0,20,30,0.0,0.1
16:39:30,34,306.0,70.0,17,30,0.0,0.2
16:39:32,39,306.0,71.0,19,30,0.0,0.2
16:39:34,17,306.0,71.0,20,30,0.0,0.1
16:39:36,39,306.0,70.0,19,30,0.0,0.1
16:39:38,38,306.0,71.0,18,30,0.0,0.0
16:39:40,24,306.0,71.0,19,30,0.0,0.4
16:39:43,39,306.0,70.0,17,30,0.0,0.0
16:39:45,38,306.0,70.0,19,30,0.0,0.2
16:39:47,17,306.0,71.0,19,30,0.0,0.1
16:39:49,33,306.0,70.0,18,30,0.0,0.1
16:39:51,39,306.0,70.0,19,30,0.0,0.0
16:39:53,31,306.0,71.0,21,30,0.0,0.3
16:39:55,38,306.0,70.0,20,30,0.0,0.1
16:39:57,29,306.0,71.0,18,30,0.0,0.0
16:39:59,39,306.0,71.0,19,30,0.0,0.3
16:40:01,34,306.0,70.0,18,30,0.0,0.1
16:40:03,18,306.0,71.0,18,30,0.0,0.3
16:40:05,38,306.0,71.0,18,30,0.0,0.1
16:40:07,31,306.0,71.0,17,30,0.0,0.0
16:40:09,34,306.0,71.0,19,30,0.0,0.1
16:40:11,38,306.0,71.0,19,30,0.0,0.1
16:40:13,15,306.0,71.0,25,30,0.0,47.3
16:40:15,25,306.0,71.0,19,30,0.0,8.2
16:40:17,24,306.0,71.0,18,30,0.0,0.1
16:40:20,38,306.0,71.0,18,30,0.0,0.2
16:40:22,36,306.0,71.0,24,30,0.0,0.1
16:40:24,25,306.0,71.0,21,30,0.0,0.4
16:40:26,32,306.0,71.0,19,30,0.0,0.1
16:40:28,34,306.0,70.0,24,31,0.0,0.1
16:40:30,23,306.0,71.0,27,30,0.0,53.8
16:40:32,37,306.0,70.0,24,30,0.0,0.0
16:40:34,37,306.0,70.0,23,30,0.0,0.1
16:40:36,26,306.0,70.0,24,30,0.0,0.1
16:40:38,37,306.0,70.0,23,30,0.0,0.0
16:40:40,42,306.0,70.0,22,30,0.0,0.1
